"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2021-02-01","2372.04","2413.18","2372.04","2408.24","0.00","6972936529"
"NEPSE","2021-01-31","2425.53","2425.53","2366.46","2370.54","0.00","8973206450"
"NEPSE","2021-01-28","2460.83","2460.83","2420.64","2425.29","0.00","9898456128"
"NEPSE","2021-01-27","2433.74","2449.42","2416.62","2441.85","0.00","8006238770"
"NEPSE","2021-01-26","2461.42","2462.28","2419.89","2423.09","0.00","8279701077"
"NEPSE","2021-01-25","2447.01","2456.22","2408.87","2440.87","0.00","8903538731"
"NEPSE","2021-01-24","2396.74","2429.11","2396.74","2424.84","0.00","9376053220"
"NEPSE","2021-01-21","2372.86","2376.13","2354.7","2374.64","0.00","7798528433"
"NEPSE","2021-01-20","2361.52","2362.99","2322.72","2342.76","0.00","6210966026"
"NEPSE","2021-01-19","2361.99","2362.86","2304.98","2326.9","0.00","7467439848"
"NEPSE","2021-01-18","2333.87","2340.57","2319.58","2332.31","0.00","6314664167"
"NEPSE","2021-01-17","2299.33","2316.8","2297.5","2315","0.00","6374267782"
"NEPSE","2021-01-13","2279.04","2296.17","2277.26","2286.54","0.00","5914389261"
"NEPSE","2021-01-12","2243.16","2267.73","2233.61","2267.73","0.00","4982391897"
"NEPSE","2021-01-11","2264.27","2266.44","2229.13","2239.42","0.00","5524832993"
"NEPSE","2021-01-10","2201.38","2238.24","2201.38","2235.72","0.00","6326646806"
"NEPSE","2021-01-07","2181.27","2204.97","2179.09","2194.48","0.00","5874708279"
"NEPSE","2021-01-06","2170.82","2185.2","2170.31","2178.57","0.00","4425472339"
"NEPSE","2021-01-05","2167.82","2182.39","2149.74","2165.49","0.00","4566381178"
"NEPSE","2021-01-04","2207.05","2216.44","2154","2169.04","0.00","5961733122"
"NEPSE","2021-01-03","2104.85","2175.39","2104.85","2175.39","0.00","6344017889"
"NEPSE","2020-12-31","2079.37","2112.59","2073.8","2087.27","0.00","5703469837"
"NEPSE","2020-12-30","2023.59","2062.06","2023.4","2062.06","0.00","4446222579"
"NEPSE","2020-12-29","2016.26","2031.47","2009.38","2012.89","0.00","4092227802"
"NEPSE","2020-12-28","1998.81","2013.51","1981.5","2007.29","0.00","3850320045"
"NEPSE","2020-12-27","2047.12","2047.19","1994.8","1998.65","0.00","4623452312"
"NEPSE","2020-12-24","2091.59","2091.59","2025.65","2038.63","0.00","5369046322"
"NEPSE","2020-12-23","2094.27","2127.22","2063.13","2068.45","0.00","6862445215"
"NEPSE","2020-12-22","1987.47","2061.41","1987.47","2061.41","0.00","6740744432"
"NEPSE","2020-12-21","1919.05","1977.42","1874.07","1965.96","0.00","6698874354"
"NEPSE","2020-12-20","2046.57","2046.57","1935.4","1935.63","0.00","8612857317"
"NEPSE","2020-12-17","2058.72","2059.8","2025.19","2032.51","0.00","6769890815"
"NEPSE","2020-12-16","2097.2","2097.2","2041.85","2055.22","0.00","5144675578"
"NEPSE","2020-12-15","2085.56","2100.96","2050.9","2061.41","0.00","6069331687"
"NEPSE","2020-12-14","2022.72","2069.06","2022.72","2067.17","0.00","7204136923"
"NEPSE","2020-12-13","1973.75","2010.45","1967.44","2010.45","0.00","4899484131"
"NEPSE","2020-12-10","1954.6","1974.12","1938.92","1964.02","0.00","4146321050"
"NEPSE","2020-12-09","2006.4","2009.81","1948.98","1955.75","0.00","4745649292"
"NEPSE","2020-12-08","2033.97","2047.35","1982.07","1995.35","0.00","5719436384"
"NEPSE","2020-12-07","1929.46","2004.39","1914.42","2004.39","0.00","6667956831"
"NEPSE","2020-12-06","2051.51","2051.51","1932.11","1932.11","0.00","7209180213"
"NEPSE","2020-12-03","2090.79","2118.41","2040.99","2055.45","0.00","8026023798"
"NEPSE","2020-12-02","2016.82","2077.7","2016.82","2071.02","0.00","7463482972"
"NEPSE","2020-12-01","2009.46","2022.25","1966.18","2000.4","0.00","7404154007"
"NEPSE","2020-11-30","2000","2028.45","1971.24","1997.05","0.00","8867714682"
"NEPSE","2020-11-29","1912.11","1971.42","1912.11","1968.27","0.00","9227348348"
"NEPSE","2020-11-26","1894.78","1926.91","1879","1893.24","0.00","7613030091"
"NEPSE","2020-11-25","1820.87","1874.81","1820.87","1874.81","0.00","5131886488"
"NEPSE","2020-11-24","1790.19","1813.86","1786.71","1810.11","0.00","5442950189"
"NEPSE","2020-11-23","1789.35","1792.41","1772.11","1780.43","0.00","4762704611"
